Unit,Year,Internship Participation %,1 Internship %,2 Internships %,3+ Internships %,Paid Internship %,For-Credit Internship %,Accepted FT with Internship Employer %,Received FT Offer (Not Accepted) %,Pursued FT (No Offer) %,Did Not Pursue FT with Host %
University-Wide,2015,80,40,29,31,62,41,21,12,7,60
College of Agriculture and Natural Resources,2015,79,49,31,20,59,54,,,,
College of Arts and Humanities,2015,73,36,27,37,50,55,,,,
College of Behavioral and Social Sciences,2015,75,35,29,36,50,48,,,,
"College of Computer, Mathematical, and Natural Sciences",2015,72,45,29,27,67,22,,,,
College of Education,2015,96,60,24,16,10,84,,,,
College of Information,2015,,,,,,,,,,
The A. James Clark School of Engineering,2015,84,40,31,29,87,11,,,,
Philip Merrill College of Journalism,2015,100,11,26,62,62,97,,,,
"School of Architecture, Planning, and Preservation",2015,,,,,,,,,,
School of Public Health,2015,90,50,25,25,29,80,,,,
School of Public Policy,2015,,,,,,,,,,
The Robert H. Smith School of Business,2015,88,37,31,32,84,21,,,,
College Park Scholars,2015,88,25,32,43,67,44,,,,
Honors College,2015,87,30,30,40,73,30,,,,
Letters and Sciences,2015,78,40,30,30,59,43,,,,
Undergraduate Studies,2015,,,,,,,,,,
University-Wide,2016,80,32,26,42,63,40,21,14,7,58
College of Agriculture and Natural Resources,2016,81,43,29,28,50,50,,,,
College of Arts and Humanities,2016,71,38,26,37,49,56,,,,
College of Behavioral and Social Sciences,2016,73,36,26,38,49,48,,,,
"College of Computer, Mathematical, and Natural Sciences",2016,74,39,30,31,67,24,,,,
College of Education,2016,95,55,29,16,7,87,,,,
College of Information,2016,,,,,,,,,,
The A. James Clark School of Engineering,2016,81,34,40,26,90,5,,,,
Philip Merrill College of Journalism,2016,100,21,18,61,64,96,,,,
"School of Architecture, Planning, and Preservation",2016,,,,,,,,,,
School of Public Health,2016,83,43,32,25,33,72,,,,
School of Public Policy,2016,,,,,,,,,,
The Robert H. Smith School of Business,2016,99,1,7,92,88,20,,,,
College Park Scholars,2016,93,26,25,50,63,47,,,,
Honors College,2016,89,23,29,49,77,26,,,,
Letters and Sciences,2016,78,32,25,43,61,40,,,,
Undergraduate Studies,2016,,,,,,,,,,
University-Wide,2017,77,35,33,32,58,42,17,12,6,65
College of Agriculture and Natural Resources,2017,74,34,35,31,47,53,,,,
College of Arts and Humanities,2017,73,31,32,37,45,56,,,,
College of Behavioral and Social Sciences,2017,73,33,34,34,51,48,,,,
"College of Computer, Mathematical, and Natural Sciences",2017,75,38,35,27,70,24,,,,
College of Education,2017,93,34,25,41,15,76,,,,
College of Information,2017,,,,,,,,,,
The A. James Clark School of Engineering,2017,80,35,36,29,89,7,,,,
Philip Merrill College of Journalism,2017,99,21,22,57,65,97,,,,
"School of Architecture, Planning, and Preservation",2017,75,39,22,39,72,11,,,,
School of Public Health,2017,86,43,31,26,36,63,,,,
School of Public Policy,2017,,,,,,,,,,
The Robert H. Smith School of Business,2017,93,36,37,27,73,13,,,,
College Park Scholars,2017,90,25,35,40,66,45,,,,
Honors College,2017,83,26,37,37,74,32,,,,
Letters and Sciences,2017,76,32,25,43,52,42,,,,
Undergraduate Studies,2017,,,,,,,,,,
University-Wide,2018,84,34,32,34,48,29,11,8,5,76
College of Agriculture and Natural Resources,2018,86,36,31,33,53,65,,,,
College of Arts and Humanities,2018,80,35,30,35,57,51,,,,
