Unit,Year,Directly Aligned,Stepping Stone,Pays the Bills,N
University-Wide,2015,52,39,9,"1,945"
College of Agriculture and Natural Resources,2015,40,48,12,67
College of Arts and Humanities,2015,43,38,19,302
College of Behavioral and Social Sciences,2015,39,47,14,390
"College of Computer, Mathematical, and Natural Sciences",2015,55,39,6,291
College of Education,2015,81,19,0,43
College of Information,2015,,,,
The A. James Clark School of Engineering,2015,64,31,5,309
Philip Merrill College of Journalism,2015,49,46,4,71
"School of Architecture, Planning, and Preservation",2015,,,,
School of Public Health,2015,35,53,12,136
School of Public Policy,2015,,,,
The Robert H. Smith School of Business,2015,66,33,2,486
College Park Scholars,2015,52,41,8,283
Honors College,2015,57,39,4,251
Letters and Sciences,2015,47,42,10,598
Undergraduate Studies,2015,,,,
University-Wide,2016,52,39,9,"2,058"
College of Agriculture and Natural Resources,2016,42,49,8,71
College of Arts and Humanities,2016,39,44,17,254
College of Behavioral and Social Sciences,2016,39,47,15,429
"College of Computer, Mathematical, and Natural Sciences",2016,57,34,9,315
College of Education,2016,93,6,2,54
College of Information,2016,,,,
The A. James Clark School of Engineering,2016,65,31,4,370
Philip Merrill College of Journalism,2016,59,32,9,90
"School of Architecture, Planning, and Preservation",2016,,,,
School of Public Health,2016,26,58,15,170
School of Public Policy,2016,,,,
The Robert H. Smith School of Business,2016,66,32,1,431
College Park Scholars,2016,61,34,6,288
Honors College,2016,59,38,3,317
Letters and Sciences,2016,48,41,12,635
Undergraduate Studies,2016,,,,
University-Wide,2017,46,44,9,"1,643"
College of Agriculture and Natural Resources,2017,30,54,15,79
College of Arts and Humanities,2017,33,48,19,238
College of Behavioral and Social Sciences,2017,35,53,12,371
"College of Computer, Mathematical, and Natural Sciences",2017,53,41,7,348
College of Education,2017,92,7,2,61
College of Information,2017,,,,
The A. James Clark School of Engineering,2017,62,36,2,338
Philip Merrill College of Journalism,2017,54,38,8,90
"School of Architecture, Planning, and Preservation",2017,,,,
School of Public Health,2017,30,59,11,210
School of Public Policy,2017,,,,
The Robert H. Smith School of Business,2017,64,34,3,426
College Park Scholars,2017,53,40,7,215
Honors College,2017,50,47,3,214
Letters and Sciences,2017,39,49,12,512
Undergraduate Studies,2017,,,,
University-Wide,2018,52,41,7,"1,390"
College of Agriculture and Natural Resources,2018,40,53,7,73
College of Arts and Humanities,2018,40,49,11,187
College of Behavioral and Social Sciences,2018,52,37,11,332
"College of Computer, Mathematical, and Natural Sciences",2018,61,34,4,264
College of Education,2018,95,5,0,41
College of Information,2018,54,46,0,14
The A. James Clark School of Engineering,2018,70,28,1,339
Philip Merrill College of Journalism,2018,55,43,2,82
"School of Architecture, Planning, and Preservation",2018,78,6,17,18
School of Public Health,2018,25,62,13,125
School of Public Policy,2018,,,,
The Robert H. Smith School of Business,2018,46,51,3,457
College Park Scholars,2018,54,40,7,229
Honors College,2018,59,39,3,226
Letters and Sciences,2018,42,49,9,410
Undergraduate Studies,2018,,,,
University-Wide,2019,55,39,6,"2,147"
College of Agriculture and Natural Resources,2019,48,42,10,62
College of Arts and Humanities,2019,46,41,12,181
College of Behavioral and Social Sciences,2019,42,45,13,321
"College of Computer, Mathematical, and Natural Sciences",2019,67,29,4,387
College of Education,2019,95,5,0,44
College of Information,2019,69,25,6,51
The A. James Clark School of Engineering,2019,70,29,1,394
Philip Merrill College of Journalism,2019,42,47,11,38
"School of Architecture, Planning, and Preservation",2019,83,13,4,23
School of Public Health,2019,28,61,11,152
School of Public Policy,2019,,,,
The Robert H. Smith School of Business,2019,52,46,2,568
College Park Scholars,2019,54,38,8,286
Honors College,2019,59,38,3,306
Letters and Sciences,2019,52,41,7,629
Undergraduate Studies,2019,,,,
University-Wide,2020,55,38,7,"2,029"
College of Agriculture and Natural Resources,2020,31,58,11,62
College of Arts and Humanities,2020,40,42,18,201
College of Behavioral and Social Sciences,2020,41,46,13,356
"College of Computer, Mathematical, and Natural Sciences",2020,70,27,3,421
College of Education,2020,98,2,0,49
College of Information,2020,61,34,5,93
The A. James Clark School of Engineering,2020,65,32,3,397
Philip Merrill College of Journalism,2020,52,39,9,46
"School of Architecture, Planning, and Preservation",2020,52,39,9,46
School of Public Health,2020,26,60,14,129
School of Public Policy,2020,50,50,0,16
The Robert H. Smith School of Business,2020,55,43,2,378
College Park Scholars,2020,51,44,5,251
Honors College,2020,58,39,3,327
Letters and Sciences,2020,47,44,9,570
Undergraduate Studies,2020,,,,
University-Wide,2021,55,39,6,"1,739"
College of Agriculture and Natural Resources,2021,52,42,6,52
College of Arts and Humanities,2021,45,42,13,142
College of Behavioral and Social Sciences,2021,37,49,14,295
"College of Computer, Mathematical, and Natural Sciences",2021,66,31,3,369
College of Education,2021,89,11,0,45
College of Information,2021,44,51,5,81
The A. James Clark School of Engineering,2021,66,31,3,346
Philip Merrill College of Journalism,2021,51,40,9,46
"School of Architecture, Planning, and Preservation",2021,65,30,5,20
School of Public Health,2021,28,64,8,104
School of Public Policy,2021,70,30,0,10
The Robert H. Smith School of Business,2021,60,40,0,352
College Park Scholars,2021,58,40,2,192
Honors College,2021,60,38,2,258
Letters and Sciences,2021,49,43,8,471
Undergraduate Studies,2021,,,,
University-Wide,2022,60,35,5,"2,008"
College of Agriculture and Natural Resources,2022,60,33,7,73
College of Arts and Humanities,2022,51,35,14,186
